32	-21.1829559 -20.5549656 -15.26138756 -12.871956179999998 -10.605444477999999 -8.721766414 -8.55533355264 -8.553273736832399 -8.5532712 -4.2766356
33	-23.382674199999997 -22.3546715 -17.387585039999998 -14.480997626 -13.332062019999999 -9.8921054431 -10.101618218999999 -8.614777808 -8.564050062 -8.5532712
34	-12.5705656 -14.7563642 -9.90062246 -8.567606327 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
35	-14.712165999999998 -15.769093299999998 -11.449816769999998 -9.487012029999999 -8.558598717999999 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356
36	-8.052176099999999 -10.0519594 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
37	-14.537154499999998 -15.431357899999998 -11.727220069999998 -9.316503169999999 -8.553303558665 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356
38	-10.4119136 -12.0349677 -9.554495499999998 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
39	-16.7981554 -17.019389 -14.159931199999999 -11.04201214 -10.1077132007 -10.9846329 -8.5532712 -4.2766356 -4.2766356 -4.2766356
40	-12.5705656 -14.7563642 -9.90062246 -8.567606327 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
41	-16.8790306 -16.586813799999998 -12.92946526 -12.1959799 -9.917226799999998 -8.553776891999998 -8.5532712 -4.2766356 -4.2766356 -4.2766356
42	-10.350498400000001 -11.8048097 -9.695196499999998 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
43	-25.6000671 -23.2735478 -19.4217616 -14.865081839999998 -13.2424931866 -11.212679009999999 -9.363510977 -8.8727308682 -8.5961377585 -8.5557398551
44	-14.6240364 -15.594598599999998 -11.62358167 -10.4487865 -8.553713142949999 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356
45	-16.8547773 -16.8518881 -13.560209999999998 -11.496214639999998 -10.3711785233 -11.7580017 -8.5532712 -4.2766356 -4.2766356 -4.2766356
46	-11.8610718 -14.790504599999998 -13.837065799999998 -9.16810676 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
47	-14.722793000000001 -15.566722199999997 -12.911037799999999 -10.244515557 -10.6164522 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356
48	-12.5024338 -13.7984172 -10.273540019999999 -8.642338464999998 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
49	-10.316103100000001 -11.621865199999998 -9.5544713 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
50	-27.569630899999996 -24.9551306 -20.612409489999997 -16.050631549 -13.2146840835 -11.080629075 -10.6579561884 -10.691163095543889 -10.533235269999999 -11.535009296999998
51	-29.911695899999998 -26.560209599999993 -20.86740365 -17.306553859999998 -15.501933989999998 -12.769346237 -12.050437712999999 -10.914426767346999 -10.337723089999999 -9.961547637999999
52	-12.3488831 -13.4281568 -10.751758639999998 -8.863661579999999 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
53	-8.2247495 -10.8247258 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
