87	-69.39355809999999 -76.35801500000001 -89.15956730000002 -93.19695980000002 -86.54003410000001 -165.9479107 -134.8060171 -110.78752867 -91.39238763000003 -81.676951484972
88	-31.895334 -43.615535400000006 -39.941554200000006 -33.284628500000004 -26.6277028 -89.31279770000005 -75.20141100000001 -66.23418301 -68.47296087000001 -74.00975129815004
89	-33.4906984 -34.272976539999995 -44.86648330000001 -46.59847990000001 -39.941554200000006 -81.24492240000001 -67.6436938 -52.46512302 -44.54596831620001 -38.84284062320001
90	-72.1979331 -69.51889806000001 -97.58192056000001 -113.16773690000002 -106.51081120000002 -144.40058329000007 -120.78858789999998 -98.37928301000001 -85.77267887620002 -88.53234329064205
91	-31.2696645 -27.5986874 -28.204929710000002 -27.894304390000002 -33.38602852500001 -65.25851120000002 -54.67924510000002 -42.965374239999996 -33.38661357000001 -28.751721770850004
92	-57.026665200000004 -56.60633176000001 -93.19695980000002 -86.54003410000001 -79.88310840000001 -137.69837723000003 -112.48713950000004 -94.48076255000001 -77.33295343 -52.404470722620005
93	-36.1069834 -41.130098000000004 -48.58069890000001 -46.59847990000001 -39.941554200000006 -67.5866089 -57.6200088 -49.04647756000001 -45.113488285 -46.08137409910001
94	-66.7846884 -74.041583 -99.85388550000002 -93.19695980000002 -86.54003410000001 -129.11867189000006 -107.3198878 -90.87589527 -83.76116863000001 -96.89097337337002
95	-151.448772 -135.87947789 -199.30041811999993 -226.33547379999985 -219.67854809999986 -316.77220988999994 -251.6922649 -213.71657107999994 -188.3080009780001 -182.99172991913994
96	-48.443737000000006 -52.01686704000001 -73.90672950000001 -73.22618270000001 -66.56925700000001 -92.09290390000001 -76.37252920000002 -68.65106364 -53.5159967 -51.170200884630994
97	-67.1901069 -68.63860118000001 -77.429719692 -87.03242902000002 -86.54003410000001 -115.89888580000003 -94.32234500000003 -79.84873888 -66.48360585000002 -59.40352854445
98	-124.22249079999999 -135.91028835999998 -190.79689684399992 -200.4469060999999 -199.7077709999999 -158.55241307000003 -136.3653299 -115.99877292000001 -117.67850918 -120.21243187897201
99	-38.8862234 -43.30036705300001 -45.83894774800001 -41.428263251000004 -46.59847990000001 -100.10051140000004 -82.00950900000001 -68.28124663000003 -56.174834370000006 -39.96410889170001
100	-94.40781630000002 -114.62378200000003 -128.6969113 -126.48158830000003 -119.82466260000002 -253.48217629000004 -204.2659724 -170.89194559999999 -143.26778339169994 -140.35388575071397
101	-31.598625200000004 -40.1792005 -46.59847990000001 -39.941554200000006 -33.284628500000004 -72.02268349 -63.10476 -51.857559710000004 -45.42004596 -43.003493658650015
102	-57.462574399999994 -73.53527140000001 -79.88310840000001 -73.22618270000001 -66.56925700000001 -103.02981572 -89.299104 -74.10262082999999 -64.28826939000002 -67.9197402836
103	-154.04904309999995 -175.86724744999998 -228.26591334999983 -232.99239949999983 -226.33547379999985 -220.09146714999997 -184.85575157999995 -167.6380151999999 -156.44169540999988 -176.49196852465002
104	-119.95793889999997 -132.24257195 -166.78762853999996 -166.42314249999995 -159.76621679999997 -266.67692995 -216.79938740000014 -183.54140604 -183.48416743999994 -192.17923183950987
105	-72.2391544 -64.08341738000001 -96.83310300000001 -106.51081120000002 -99.85388550000002 -164.34526783000004 -134.11247499999996 -110.38931065 -95.08932273999997 -87.26417983467748
106	-59.6511102 -68.35857500000003 -88.02790260000002 -86.54003410000001 -79.88310840000001 -121.87105809000006 -101.5199303 -85.69781382000004 -72.66225469999999 -79.40783320608756
107	-98.53904170000003 -106.36504710000003 -131.44454000000002 -139.7954397 -133.13851400000001 -161.65568402 -135.293281 -115.31923520000001 -109.83764444999996 -121.65823602820765
108	-50.2610714 -63.15118067000002 -79.88310840000001 -73.22618270000001 -66.56925700000001 -111.21586919000003 -91.432183 -76.53846340000001 -74.28322182 -80.08684538517001
109	-110.00497240000001 -101.65985606 -142.29967877000004 -167.10440564999996 -166.42314249999995 -255.82163759 -203.6216434 -172.34601703999996 -140.07901478999997 -93.27998890709952
110	-94.0372366 -118.51017870000003 -128.20602720000002 -133.93741280000003 -133.13851400000001 -198.66099150000005 -160.10082270000004 -133.71708723000003 -117.78358312000005 -85.73782978319
111	-92.60163050000003 -86.99907452000001 -132.37253560000002 -134.39090834 -133.34183040000002 -220.34066723000004 -177.34798890000002 -147.81948827000005 -125.62151834000001 -98.57993972125762
112	-40.3008449 -40.479819739999996 -55.26314300000001 -59.91233130000001 -53.25540560000001 -85.01187390000001 -69.7828993 -58.04957773 -54.859294596 -50.6883662875
113	-69.0153105 -75.14953656000002 -93.88590042000001 -99.85388550000002 -93.19695980000002 -141.71320610000006 -113.4698966 -93.88894031000001 -85.21897913999999 -76.44075678220001
114	-45.857411000000006 -55.00948950000001 -73.22618270000001 -66.56925700000001 -59.91233130000001 -95.60306060000002 -79.1077716 -66.48436634 -52.54728807 -60.018163503260006
115	-66.7134382 -81.15514240000002 -93.19695980000002 -86.54003410000001 -79.88310840000001 -127.17363225000005 -108.80614519999999 -88.97362796000002 -80.60449886000002 -90.47065270644
116	-85.84766010000001 -105.5121326 -133.13851400000001 -126.48158830000003 -119.82466260000002 -153.95415325000002 -130.76554090000002 -112.85920009000004 -100.84845369400003 -102.33488212771005
117	-74.57278220000002 -89.20271946000003 -114.91746100000003 -113.16773690000002 -106.51081120000002 -133.44522953000006 -110.5009334 -89.61236034000001 -76.48122655759998 -103.99317966079005
118	-65.2573172 -75.29194396000001 -100.61401840000002 -93.96002365000002 -93.19695980000002 -102.85654769000004 -88.13451660000001 -70.18971724 -66.64212641620003 -69.79841684273002
119	-41.602108199999996 -40.45704796000001 -49.98495400000001 -53.25540560000001 -46.59847990000001 -82.7758757 -67.6121286 -54.65560123000002 -44.90867420000001 -44.00764817610001
120	-89.15427279999997 -101.97377394000002 -130.75638480000003 -133.13851400000001 -126.48158830000003 -176.6283405 -141.8945215 -119.71821013999998 -110.70393319 -105.5627036773
121	-86.56167450000001 -68.04854610000001 -114.20382742000002 -127.57042296400003 -139.7954397 -178.67476230000003 -141.35397100000003 -122.65146460000004 -101.80211360000003 -80.42730950869998
122	-88.4737551 -99.19552863000004 -121.75014570000003 -119.82466260000002 -113.16773690000002 -170.7345722800001 -144.15520439999997 -121.94192346999994 -103.49454610000002 -87.09108836876003
123	-41.3766191 -34.25777646 -56.191817090000015 -59.91233130000001 -53.25540560000001 -89.2842536 -74.91593500000002 -59.65806072000001 -49.85478515620001 -46.28820285170001
124	-95.00740389999999 -91.61782025 -123.02168757000003 -126.48158830000003 -119.82466260000002 -125.14461879000004 -105.2517117 -83.63340255000001 -72.93267632000003 -55.531559705914006
125	-109.94554450000001 -136.67005619000003 -159.76621679999997 -153.10929109999998 -146.4523654 -188.45052305000004 -157.85179570000003 -136.51318897 -133.60039427 -131.41532519481004
126	-58.561985199999995 -55.24122942 -80.13205143000002 -79.88310840000001 -73.22618270000001 -95.60595270000003 -78.60515830000001 -66.88966989000001 -59.09713375999999 -47.88603755170001
127	-143.48075740000002 -155.17946309999996 -188.45588209999994 -200.6218230699999 -199.7077709999999 -219.00085278000003 -187.72501239999988 -157.91339147000002 -132.48871556999998 -97.58406845130001
128	-90.2506972 -94.24629795000001 -114.46427717000003 -119.82466260000002 -113.16773690000002 -237.97775680000004 -190.91715520000002 -158.06052253000001 -126.48875747000002 -103.11207891002005
129	-40.366417999999996 -40.73597583 -60.62526126000001 -59.91233130000001 -53.25540560000001 -81.19787060000002 -67.9444669 -53.60949634000001 -48.01586026000001 -59.3754930633
130	-46.016407 -45.84191106000001 -57.68771644400001 -62.08221480000001 -59.91233130000001 -120.61253610000003 -97.8059192 -81.46583592 -67.94174020000001 -42.47371433195001
131	-113.92045089999999 -123.75695870000004 -163.80828679999996 -173.08006819999994 -166.42314249999995 -252.4878531900001 -201.38682469999995 -172.36511515999996 -146.69805503000003 -108.80147578239998
132	-74.3584638 -77.67035610000002 -97.07819425000001 -106.51081120000002 -99.85388550000002 -135.53359463000004 -111.33375650000005 -94.92193250000001 -80.85597320999999 -66.38614103538761
133	-79.50668070000002 -87.80116740000001 -122.87149786000002 -126.48158830000003 -119.82466260000002 -159.5873784000001 -127.03528130000001 -109.2618758 -89.71907739 -90.61139542876002
134	-109.8952906 -132.5736529 -157.94101439999997 -159.76621679999997 -153.10929109999998 -206.39823666000004 -168.41187640000004 -143.37330754 -125.63148408 -129.58583650920002
135	-119.8564519 -139.4228305 -168.34009069999996 -166.42314249999995 -159.76621679999997 -264.3233194 -209.31614329999994 -174.03822825 -152.87545692500004 -151.6318154426999
136	-79.0108508 -94.26777416000002 -119.82466260000002 -113.16773690000002 -106.51081120000002 -155.08103583000005 -126.74818870000001 -105.15805703999999 -90.60345968100003 -79.20489196306002
137	-41.2392819 -45.276050600000005 -49.72395060000001 -47.352712200000006 -46.59847990000001 -68.26994563 -59.21335790000001 -52.49271412 -52.20828326000001 -50.37076937400001
138	-87.2557635 -78.92068022999999 -101.18294984000002 -115.40484641500004 -121.04945250000003 -170.43809673 -138.7972666 -116.56371852000004 -95.91614772000003 -68.1644609855
139	-108.25038030000002 -135.83392356000002 -154.4413615 -153.10929109999998 -146.4523654 -193.84773615999998 -164.8240098999999 -144.85136860999995 -135.65352695300004 -140.402385653633
140	-36.1004004 -26.752298139999997 -48.836996320000004 -48.73535340000001 -46.59847990000001 -63.253814899999995 -53.76115500000001 -46.96455777 -38.34980507000001 -34.955954973900006
141	-71.90679610000001 -58.23101669 -71.33656653000003 -100.31985610000002 -99.85388550000002 -191.24719270000003 -152.98511449999995 -130.13784898 -101.90572936 -70.76904782334961
142	-108.0697183 -126.60940242000002 -146.4523654 -139.7954397 -133.13851400000001 -234.94068644999993 -195.66870560000004 -164.45556507999999 -145.77071108999993 -146.31417503899996
